Gene;Annotation
Thrsp;w_4n_exp
Gpat3;w_4n_exp
Golgb1;w_4n_exp
Usp2;w_4n_exp
Tbc1d17;w_4n_exp
Tmem19;w_4n_exp
Hpx;w_4n_exp
Mfsd2a;w_4n_nuclei
Snhg11;w_4n_nuclei
Gstt3;w_4n_nuclei
Elovl5;w_4n_nuclei
Scd1;w_4n_nuclei
Cyp4a14;w_4n_nuclei
Prkce;h_4n_exp
Sorbs1;h_4n_exp
Tex264;h_4n_exp
Stn1;h_4n_exp
Fkbp8;h_4n_exp
Spaca6;h_4n_exp
Fbxw9;h_4n_exp
Ttc3;h_4n_exp
Dhdh1;h_4n_exp
Irf1;h_4n_exp
Gaa;h_4n_exp
Hjurp;h_4n_exp
Pm20d1;h_4n_exp
Rsu1;h_4n_exp
Insig1;h_4n_nuclei
Fmn1;h_4n_nuclei
Calu;h_4n_nuclei
Ugdh;h_4n_nuclei
Cacna2d3;h_4n_nuclei
Hmgcr;h_4n_nuclei
Rsph3a;h_4n_nuclei
Sphk2;h_4n_nuclei
Rassf6;h_4n_nuclei
Ctsa;h_4n_nuclei
Arl5c;h_4n_nuclei
Samd4;h_4n_nuclei
Washc2;h_4n_nuclei
Fdps;h_4n_nuclei
Cxcl1;h_4n_nuclei
S100a3;h_4n_nuclei
Slc20a1;h_4n_nuclei
Sc5d;h_4n_nuclei
Cfh;c_4n_exp
Ltbp1;c_4n_exp
Mug1;c_4n_exp
Trip11;c_4n_exp
Prlr;c_4n_exp
Mast4;c_4n_exp
Dstyk;c_4n_exp
Rps18;c_4n_exp
Cog5;c_4n_exp
Mir122;c_4n_exp
Podn;c_4n_exp
Ing4;c_4n_exp
Adgrl3;c_4n_exp
Cep95;c_4n_exp
Rps6kb2;c_4n_exp
Sin3b;c_4n_exp
Slc7a11;c_4n_exp
Axin1;c_4n_exp
Pabpc4;c_4n_exp
Comt;c_4n_exp
Ston2;c_4n_exp
Magi2;c_4n_exp
Ces3b;c_4n_exp
Reps1;c_4n_exp
Timm17a;c_4n_exp
Zfp704;c_4n_exp
Polr1b;c_4n_exp
Cyp2c70;c_4n_exp
Ints4;c_4n_exp
Zfp609;c_4n_exp
Glyr1;c_4n_exp
Zzz3;c_4n_exp
Arnt;c_4n_exp
Adnp;c_4n_exp
Chd2;c_4n_exp
Cpsf3;c_4n_exp
Mtnr1a;c_4n_exp
Evi5;c_4n_exp
Tmem70;c_4n_exp
Rpl30-ps1;c_4n_exp
Lpcat1;c_4n_exp
Dpagt1;c_4n_nuclei
Hacl1;c_4n_nuclei
Wdfy3;c_4n_nuclei
Rab37;c_4n_nuclei
Ctla2b;c_4n_nuclei
Nbea;c_4n_nuclei
F2;c_4n_nuclei
Stat3;c_4n_nuclei
Fgd1;c_4n_nuclei
Sco2;c_4n_nuclei
Axdnd1;c_4n_nuclei
Tapt1;c_4n_nuclei
Rtn4;c_4n_nuclei
Sec24d;c_4n_nuclei
Itgav;c_4n_nuclei
Slc7a15;c_4n_nuclei
Ube2k;c_4n_nuclei
Ypel3;c_4n_nuclei
Aimp1;c_4n_nuclei
Usp33;c_4n_nuclei
Tuba4a;c_4n_nuclei
Tcf12;c_4n_nuclei
Ndrg2;ct_4n_exp
Mtss1;ct_4n_exp
Hspa5;ct_4n_exp
Alb;ct_4n_exp
Nicn1;ct_4n_exp
AC149090.1;ct_4n_exp
Etl4;ct_4n_exp
Rsrp1;ct_4n_exp
Odf2;ct_4n_exp
Hsp90b1;ct_4n_exp
Ssh2;ct_4n_exp
Stag1;ct_4n_exp
Fnbp1l;ct_4n_exp
Errfi1;ct_4n_exp
Ap1g1;ct_4n_exp
Glyctk;ct_4n_exp
Nit1;ct_4n_exp
Irf6;ct_4n_exp
Zc3h11a;ct_4n_exp
Ambp;ct_4n_exp
Ufsp2;ct_4n_exp
Gnmt;ct_4n_exp
Larp1b;ct_4n_exp
Cxcl1;ct_4n_exp
Dpys;ct_4n_exp
Tef;ct_4n_exp
Nat8f1;ct_4n_exp
G6pc;ct_4n_nuclei
Syne2;ct_4n_nuclei
Nnmt;ct_4n_nuclei
Asl;ct_4n_nuclei
Coq10b;ct_4n_nuclei
Etnppl;ct_4n_nuclei
Canx;ct_4n_nuclei
Cth;ct_4n_nuclei
Snx12;ct_4n_nuclei
Pip5k1a;ct_4n_nuclei
Wwc2;ct_4n_nuclei
Flnb;ct_4n_nuclei
Mettl7b;ct_4n_nuclei
Kyat3;ct_4n_nuclei
Ces1f;ct_4n_nuclei
Zfp395;ct_4n_nuclei
Stx4a;hc_4n_exp
Robo1;hc_4n_exp
Auts2;hc_4n_exp
Itih1;hc_4n_exp
Gck;hc_4n_exp
Gas7;hc_4n_exp
