Gene;Annotation
Golgb1;whcct_exp
Zfp395;whcct_exp
Noct;whcct_exp
Smad6;whc_exp
Tlcd1;wh_exp
Slc25a10;wh_exp
Acacb;wh_exp
Vps33b;wh_exp
Pm20d1;wh_exp
Rsu1;wh_exp
Robo1;wc_exp
Igdcc3;w_exp
Shank2;w_exp
Plxna4;w_exp
Glul;w_exp
mt-Rnr1;w_exp
mt-Nd6;w_exp
Retreg2;w_exp
Cad;w_exp
mt-Nd5;w_exp
Col4a1;w_exp
Dscaml1;w_exp
Trabd;w_exp
Cdh4;w_exp
Lrmda;h_exp
Tll1;h_exp
Pex19;h_exp
Smc4;h_exp
Pon3;h_exp
Stx4a;h_exp
Aldh3a2;h_exp
Car3;h_exp
Lpcat3;h_exp
Atg16l2;h_exp
Adh5;h_exp
Erlin1;h_exp
Ggnbp2;h_exp
Cd1d1;h_exp
Ldlr;h_exp
Scp2-ps2;h_exp
Mpc1;h_exp
Gnat1;h_exp
Rps2-ps12;h_exp
Cyp2a5;h_exp
Phlda1;h_exp
Auts2;h_exp
Nav2;h_exp
Tcf4;h_exp
Gnai2;h_exp
Ces1f;h_exp
Cnn3;h_exp
G0s2;h_exp
Setd4;h_exp
Gck;h_exp
Snrk;h_exp
Dbp;h_exp
Inmt;h_exp
Zfp950;h_exp
Cog5;h_exp
Ppm1k;h_exp
Tm9sf1;h_exp
Zfp707;h_exp
Arrdc3;h_exp
Snx27;h_exp
Aadac;h_exp
Tns2;h_exp
Acot4;h_exp
Nipsnap1;h_exp
Shroom3;h_exp
Fasn;h_exp
Itih3;c_exp
Chka;c_exp
Hist1h2be;c_exp
Cul2;c_exp
Dock1;c_exp
Tet3;c_exp
Tsc22d4;c_exp
Slc1a3;c_exp
Itih1;c_exp
Spcs2;c_exp
Mettl14;c_exp
Pid1;c_exp
Egfr;c_exp
Adcy5;c_exp
Ecsit;c_exp
Ankrd33b;c_exp
Kcnma1;c_exp
Ccdc148;c_exp
Xrcc1;c_exp
Mir3966;c_exp
Sgsm3;c_exp
F11r;c_exp
Mlec;c_exp
Olfr66;c_exp
Acp2;c_exp
Cdc7;c_exp
Pnpla3;c_exp
Cab39;c_exp
Sugct;c_exp
Il11ra1;c_exp
F11r;c_exp
Mlec;c_exp
Olfr66;c_exp
Acp2;c_exp
Cdc7;c_exp
Pnpla3;c_exp
Cab39;c_exp
Sugct;c_exp
Il11ra1;c_exp
Ncaph2;c_exp
Zfp644;c_exp
Zfp445;c_exp
Bmp1;c_exp
Pdzd2;c_exp
Cacnb4;c_exp
Smc6;c_exp
Rhod;c_exp
Abcb11;c_exp
Ncaph2;c_exp
Zfp644;c_exp
Zfp445;c_exp
Bmp1;c_exp
Pdzd2;c_exp
Cacnb4;c_exp
Smc6;c_exp
Rhod;c_exp
Abcb11;c_exp
Mtf1;ct_exp
Olfr57;ct_exp
Oaf;ct_exp
Map2k3;ct_exp
Cdk7;ct_exp
Gsta3;ct_exp
Ankrd13a;ct_exp
Tmem5;ct_exp
Ilf3;ct_exp
Aldob;ct_exp
Dysf;ct_exp
Apoa5;ct_exp
Sigmar1;ct_exp
Zfp64;ct_exp
Mindy3;ct_exp
Snx21;ct_exp
Tbc1d10b;ct_exp
Wiz;ct_exp
Poldip2;ct_exp
Nrg1;ct_exp
Manf;ct_exp
Ankrd13d;ct_exp
Dnajc11;ct_exp
Ncf2;ct_exp
Brf1;ct_exp
Ass1;ct_exp
Tep1;ct_exp
Vps53;ct_exp
Anapc15;ct_exp
Uox;ct_exp
Itih4;ct_exp
Gstt2;ct_exp
Heatr3;ct_exp
Loxl3;ct_exp
Nsun6;ct_exp
Sri;ct_exp
Syt11;ct_exp
Ttc26;ct_exp
Aacs;ct_exp
Gys2;ct_exp
Slc12a9;ct_exp
Tat;ct_exp
Glod4;ct_exp
Capn10;ct_exp
Man1a2;ct_exp
Idh2;ct_exp
Glyr1;ct_exp
Nebl;ct_exp
Nid2;ct_exp
Rnf40;ct_exp
Hamp;ct_exp
Ces1d;ct_exp
Rapgef1;ct_exp
Dopey2;ct_exp
Sds;ct_exp
Pck1;ct_exp
