Gene;Annotation
Noct;whcct_nuclei
Insig1;h_nuclei
Fmn1;h_nuclei
Slc25a10;h_nuclei
Rsph3a;h_nuclei
Rassf6;h_nuclei
Arl5c;h_nuclei
Gnat1;h_nuclei
Zfp36;h_nuclei
Dbp;h_nuclei
Hmgcr;h_nuclei
Sphk2;h_nuclei
Arrdc3;h_nuclei
Fdps;h_nuclei
Tph2;h_nuclei
Sc5d;h_nuclei
Itih3;c_nuclei
Copa;c_nuclei
Ago4;c_nuclei
Chka;c_nuclei
Hist1h2be;c_nuclei
Cul2;c_nuclei
Stx4a;c_nuclei
Cep95;c_nuclei
Fgd1;c_nuclei
Dock1;c_nuclei
Chd8;c_nuclei
Reps1;c_nuclei
Tet3;c_nuclei
Tsc22d4;c_nuclei
Smad6;c_nuclei
Slc1a3;c_nuclei
Robo1;c_nuclei
Itih1;c_nuclei
Rpl3;c_nuclei
Mtnr1a;c_nuclei
Mettl14;c_nuclei
Pid1;c_nuclei
Kynu;c_nuclei
Ankrd33b;c_nuclei
Hacl1;c_nuclei
Kcnma1;c_nuclei
Ccdc148;c_nuclei
Ctla2b;c_nuclei
Zw10;c_nuclei
Stat3;c_nuclei
Uggt1;c_nuclei
Ston2;c_nuclei
Sco2;c_nuclei
Mlec;c_nuclei
Cdc7;c_nuclei
Rtn4;c_nuclei
Sec24d;c_nuclei
Ncaph2;c_nuclei
Lix1;c_nuclei
Bmp1;c_nuclei
Tjp1;c_nuclei
Pdzd2;c_nuclei
Edem1;c_nuclei
Smc6;c_nuclei
Rhod;c_nuclei
Abcb11;c_nuclei
Mtf1;ct_nuclei
Syne2;ct_nuclei
Olfr57;ct_nuclei
Hgd;ct_nuclei
Oaf;ct_nuclei
Nnmt;ct_nuclei
Col25a1;ct_nuclei
Coq10b;ct_nuclei
Map2k3;ct_nuclei
Cdk7;ct_nuclei
Canx;ct_nuclei
Smc1a;ct_nuclei
Gsta3;ct_nuclei
Tmem5;ct_nuclei
Sema4a;ct_nuclei
Dysf;ct_nuclei
Aldob;ct_nuclei
Fbp1;ct_nuclei
Apoa5;ct_nuclei
Cth;ct_nuclei
Nmnat2;ct_nuclei
Zfp64;ct_nuclei
Dock7;ct_nuclei
Efcab11;ct_nuclei
Slc12a9;ct_nuclei
Tat;ct_nuclei
Dlgap4;ct_nuclei
Fkbp8;ct_nuclei
Pgap1;ct_nuclei
Pten;ct_nuclei
Ggnbp1;ct_nuclei
Capn10;ct_nuclei
Man1a2;ct_nuclei
Glyr1;ct_nuclei
Nebl;ct_nuclei
Nid2;ct_nuclei
Slc25a25;ct_nuclei
Mug-ps1;ct_nuclei
Rnf40;ct_nuclei
Hamp;ct_nuclei
Ces1d;ct_nuclei
Rapgef1;ct_nuclei
Sds;ct_nuclei
Dopey2;ct_nuclei
Zfp395;ct_nuclei
Aqp9;ct_nuclei
Arg1;ct_nuclei
Pck1;ct_nuclei
Mindy3;ct_nuclei
Sat2;ct_nuclei
Acss2;ct_nuclei
Mical2;ct_nuclei
Wiz;ct_nuclei
Nrg1;ct_nuclei
Manf;ct_nuclei
Pip5k1a;ct_nuclei
Rad17;ct_nuclei
Cers2;ct_nuclei
Gatsl2;ct_nuclei
Nat6;ct_nuclei
Kansl3;ct_nuclei
Kyat3;ct_nuclei
Ankrd13d;ct_nuclei
Dnajc11;ct_nuclei
Ces1f;ct_nuclei
Pogz;ct_nuclei
Ncf2;ct_nuclei
Nat8f1;ct_nuclei
Ass1;ct_nuclei
Tep1;ct_nuclei
Vps53;ct_nuclei
Rbbp4;ct_nuclei
G6pc;ct_nuclei
Pla2g10os;ct_nuclei
Uox;ct_nuclei
Dpagt1;ct_nuclei
Itih4;ct_nuclei
Inmt;ct_nuclei
Nicn1;ct_nuclei
Calr;ct_nuclei
Smyd3;ct_nuclei
Heatr3;ct_nuclei
Nsun6;ct_nuclei
Syt11;ct_nuclei
Dgkd;ct_nuclei
Cdc26;ct_nuclei
Neb;ct_nuclei
Ttc26;ct_nuclei
Aacs;ct_nuclei
Gys2;ct_nuclei
Hyal1;ct_nuclei
Snx12;ct_nuclei
