Gene;Annotation
Aldh3a1;Cebpb
Bcl2;Cebpb
Cdkn1a;Cebpb
Cebpa;Cebpb
Clu;Cebpb
Csf3;Cebpb
Fos;Cebpb
Foxf1;Cebpb
Gsta2;Cebpb
Il1b;Cebpb
Il5ra;Cebpb
Insr;Cebpb
Mafb;Cebpb
Pck1;Cebpb
Pparg;Cebpb
Ptgs2;Cebpb
Serpine1;Cebpb
Slc10a1;Cebpb
Trp53;Cebpb
Ucp1;Cebpb
Adipoq;Nfkb1
Adora1;Nfkb1
Ankrd2;Nfkb1
Apoe;Nfkb1
Aqp5;Nfkb1
Cox2;Nfkb1
Ccnd1;Nfkb1
Cyp11a1;Nfkb1
Hamp;Nfkb1
Hes1;Nfkb1
Hmgcr;Nfkb1
Ifng;Nfkb1
Igf2bp2;Nfkb1
Itgam;Nfkb1
Lcn2;Nfkb1
Slc11a1;Irf8
Gas2;Irf8
Dab2;Irf8
Abcb1b;Trp53
Abcc1;Trp53
Adgrb1;Trp53
Cdkn1a;Trp53
Col2a1;Trp53
Ddit4;Trp53
Dusp2;Trp53
Dusp4;Trp53
Egr1;Trp53
Foxo3;Trp53
Gadd45a;Trp53
Hmox1;Trp53
Krt19;Trp53
Notch1;Trp53
Nr0b2;Trp53
Serpinb5;Trp53
Serpine1;Trp53
Slc19a2;Trp53
Slc2a4;Trp53
Slc6a6;Trp53
Smad3;Trp53
Tnfrsf10b;Trp53
Abca3;Srebf1
Abcd2;Srebf1
Acaca;Srebf1
Clu;Srebf1
Cyp8b1;Srebf1
Elovl3;Srebf1
Elovl5;Srebf1
Fabp6;Srebf1
Fasn;Srebf1
Gck;Srebf1
Hmox1;Srebf1
Hmgcr;Srebf1
Nr0b2;Srebf1
Pla2g6;Srebf1
Ppargc1a;Srebf1
Aldh3a1;Ep300
Axin2;Ep300
Birc5;Ep300
Ccnb2;Ep300
Cdn1a;Ep300
Cryab;Ep300
Dnmt1;Ep300
Hmox1;Ep300
Nr0b2;Ep300
Pparg;Ep300
Ptgs2;Ep300
Tnfsf10;Ep300
Tnfsf13b;Ep300
Cav1;Stat3
Cdkn2d;Stat3
Cebpd;Stat3
Col1a1;Stat3
Egr1;Stat3
Igfbp5;Stat3
Vegfa;Stat3
Bcl2;Satb1
Nes;Satb1
Spi1;Satb1
Fn1;Tcf4
Smc3;Tcf4
Hmga1;Tcf4
Cops5;Tcf4
Abcd4;Ppara
Acot1;Ppara
Akr1c18;Ppara
Aldh3a2;Ppara
Angptl4;Ppara
Bcl2;Ppara
Cdkn2a;Ppara
Cyp7a1;Ppara
Fbp2;Ppara
Serpine2;Ppara
Slc15a1;Ppara
Slc25a20;Ppara
Slc27a1;Ppara
Ucp2;Ppara
Adipoq;Foxo1
Adipor1;Foxo1
Akt1;Foxo1
Apoc3;Foxo1
Cdkn1a;Foxo1
G6pc;Foxo1
Igfbp1;Foxo1
Pdk4;Foxo1
Cyp3a11;Nr1i3
Cyp2b10;Nr1i3
Cyp7a1;Nr1i3
Cyp1a2;Hnf1a
Cyp27a1;Hnf1a
Cyp2c29;Hnf1a
Cyp2e1;Hnf1a
Cyp3a11;Hnf1a
Cyp7b1;Hnf1a
Pax4;Hnf1a
Pck1;Hnf1a
Pkhd1;Hnf1a
Rorc;Hnf1a
Slc6a19;Hnf1a
Slco1b2;Hnf1a
Acadm;Esrra
Apoa4;Esrra
Nrip1;Esrra
Ppargc1a;Esrra
Ppara;Esrra
Spp1;Esrra
Abcb11;Rxra
Amelx;Rxra
Cyp26a1;Rxra
Cyp2b10;Rxra
Cyp7a1;Rxra
Apoa4;Ppargc1a
Cav3;Ppargc1a
Cidea;Ppargc1a
Cyp11b2;Ppargc1a
G6pc;Ppargc1a
Hamp;Ppargc1a
Hnf4a;Ppargc1a
Acaca;Mlxipl
Fasn;Mlxipl
Gpam;Mlxipl
Ins1;Mlxipl
Ins2;Mlxipl
