Gene;Annotation
Aadac;Glycolysis/lipolysis
Abcb11;Glycolysis/lipolysis
Abcd1;Glycolysis/lipolysis
Abcd2;Glycolysis/lipolysis
Abcd3;Glycolysis/lipolysis
Abcd4;Glycolysis/lipolysis
Abhd12;Glycolysis/lipolysis
Abhd12b;Glycolysis/lipolysis
Abhd16a;Glycolysis/lipolysis
Abhd16b;Glycolysis/lipolysis
Abhd2;Glycolysis/lipolysis
Abhd3;Glycolysis/lipolysis
Abhd4;Glycolysis/lipolysis
Abhd5;Glycolysis/lipolysis
Abhd6;Glycolysis/lipolysis
Acaa1a;Glycolysis/lipolysis
Acaa1b;Glycolysis/lipolysis
Acaa2;Glycolysis/lipolysis
Acacb;Glycolysis/lipolysis
Acad11;Glycolysis/lipolysis
Acadl;Glycolysis/lipolysis
Acadm;Glycolysis/lipolysis
Acads;Glycolysis/lipolysis
Acadvl;Glycolysis/lipolysis
Acap1;Glycolysis/lipolysis
Acat1;Glycolysis/lipolysis
Acat2;Glycolysis/lipolysis
Acat3;Glycolysis/lipolysis
Acer1;Glycolysis/lipolysis
Acer2;Glycolysis/lipolysis
Acer3;Glycolysis/lipolysis
Acot2;Glycolysis/lipolysis
Acot7;Glycolysis/lipolysis
Acot8;Glycolysis/lipolysis
Acox1;Glycolysis/lipolysis
Acox2;Glycolysis/lipolysis
Acox3;Glycolysis/lipolysis
Acoxl;Glycolysis/lipolysis
Acsbg2;Glycolysis/lipolysis
Acsl5;Glycolysis/lipolysis
Adam11;Glycolysis/lipolysis
Adipoq;Glycolysis/lipolysis
Adora1;Glycolysis/lipolysis
Adra2a;Glycolysis/lipolysis
Adtrp;Glycolysis/lipolysis
Agnptl4;Glycolysis/lipolysis
Aig1;Glycolysis/lipolysis
Akr1b8;Glycolysis/lipolysis
Akr1c18;Glycolysis/lipolysis
Akr1d1;Glycolysis/lipolysis
Akt1;Glycolysis/lipolysis
Akt2;Glycolysis/lipolysis
Aldob;Glycolysis/lipolysis
Alk;Glycolysis/lipolysis
Amacr;Glycolysis/lipolysis
Ambp;Glycolysis/lipolysis
Angptl3;Glycolysis/lipolysis
Aoah;Glycolysis/lipolysis
Apoa1;Glycolysis/lipolysis
Apoa2;Glycolysis/lipolysis
Apoa4;Glycolysis/lipolysis
Apoa5;Glycolysis/lipolysis
Apob;Glycolysis/lipolysis
Apoc1;Glycolysis/lipolysis
Apoc2;Glycolysis/lipolysis
Apoc3;Glycolysis/lipolysis
Apoe;Glycolysis/lipolysis
Apoh;Glycolysis/lipolysis
Apom;Glycolysis/lipolysis
App;Glycolysis/lipolysis
Asah1;Glycolysis/lipolysis
Asah2;Glycolysis/lipolysis
Aspg;Glycolysis/lipolysis
Auh;Glycolysis/lipolysis
Bcl6;Glycolysis/lipolysis
Bco1;Glycolysis/lipolysis
Bco2;Glycolysis/lipolysis
Bdh2;Glycolysis/lipolysis
Bglap2;Glycolysis/lipolysis
Bscl2;Glycolysis/lipolysis
Camk2d;Glycolysis/lipolysis
Cdk4;Glycolysis/lipolysis
Cel;Glycolysis/lipolysis
Ces1a;Glycolysis/lipolysis
Ces1b;Glycolysis/lipolysis
Ces1c;Glycolysis/lipolysis
Ces1d;Glycolysis/lipolysis
Ces1e;Glycolysis/lipolysis
Ces1f;Glycolysis/lipolysis
Ces1g;Glycolysis/lipolysis
Ces1h;Glycolysis/lipolysis
Cidea;Glycolysis/lipolysis
Clps;Glycolysis/lipolysis
Clpsl2;Glycolysis/lipolysis
Cnr1;Glycolysis/lipolysis
Cps1;Glycolysis/lipolysis
Cpt1a;Glycolysis/lipolysis
Cpt2;Glycolysis/lipolysis
Crabp1;Glycolysis/lipolysis
Crat;Glycolysis/lipolysis
Crot;Glycolysis/lipolysis
Crtc3;Glycolysis/lipolysis
Cyp19a1;Glycolysis/lipolysis
Cyp1a2;Glycolysis/lipolysis
Cyp1b1;Glycolysis/lipolysis
Cyp24a1;Glycolysis/lipolysis
Cyp26a1;Glycolysis/lipolysis
Cyp26b1;Glycolysis/lipolysis
Cyp26c1;Glycolysis/lipolysis
Cyp27a1;Glycolysis/lipolysis
Cyp27b1;Glycolysis/lipolysis
Cyp2w1;Glycolysis/lipolysis
Cyp39a1;Glycolysis/lipolysis
Cyp46a1;Glycolysis/lipolysis
Cyp4a10;Glycolysis/lipolysis
Cyp4f14;Glycolysis/lipolysis
Cyp4f15;Glycolysis/lipolysis
Cyp4f18;Glycolysis/lipolysis
Cyp4f40;Glycolysis/lipolysis
Cyp7a1;Glycolysis/lipolysis
Dagla;Glycolysis/lipolysis
Daglb;Glycolysis/lipolysis
Dbi;Glycolysis/lipolysis
Ddhd1;Glycolysis/lipolysis
Ddhd2;Glycolysis/lipolysis
Decr1;Glycolysis/lipolysis
Echdc1;Glycolysis/lipolysis
Echdc2;Glycolysis/lipolysis
Echs1;Glycolysis/lipolysis
Eci1;Glycolysis/lipolysis
Eci2;Glycolysis/lipolysis
Eci3;Glycolysis/lipolysis
Ehhadh;Glycolysis/lipolysis
Enox1;Glycolysis/lipolysis
Enpp2;Glycolysis/lipolysis
Enpp6;Glycolysis/lipolysis
Enpp7;Glycolysis/lipolysis
Entpd5;Glycolysis/lipolysis
Esrrb;Glycolysis/lipolysis
Etfa;Glycolysis/lipolysis
Etfb;Glycolysis/lipolysis
Etfbkmt;Glycolysis/lipolysis
Etfdh;Glycolysis/lipolysis
Faah;Glycolysis/lipolysis
Fabp1;Glycolysis/lipolysis
Fgf21;Glycolysis/lipolysis
Fgf23;Glycolysis/lipolysis
Fmc1;Glycolysis/lipolysis
Foxk1;Glycolysis/lipolysis
Foxk2;Glycolysis/lipolysis
Galc;Glycolysis/lipolysis
Gale;Glycolysis/lipolysis
Galk1;Glycolysis/lipolysis
Galt;Glycolysis/lipolysis
Gapdhs;Glycolysis/lipolysis
Gba;Glycolysis/lipolysis
Gba2;Glycolysis/lipolysis
Gcdh;Glycolysis/lipolysis
Gck;Glycolysis/lipolysis
Gdpd1;Glycolysis/lipolysis
Gdpd3;Glycolysis/lipolysis
Gla;Glycolysis/lipolysis
Gm28042;Glycolysis/lipolysis
Gm2a;Glycolysis/lipolysis
Gm49387;Glycolysis/lipolysis
Gpcpd1;Glycolysis/lipolysis
Gpd1;Glycolysis/lipolysis
Gpld1;Glycolysis/lipolysis
Gppi1;Glycolysis/lipolysis
Hacl1;Glycolysis/lipolysis
Hadh;Glycolysis/lipolysis
Hadha;Glycolysis/lipolysis
Hadhb;Glycolysis/lipolysis
Hao1;Glycolysis/lipolysis
Hcar1;Glycolysis/lipolysis
Hcar2;Glycolysis/lipolysis
Hexa;Glycolysis/lipolysis
Hexb;Glycolysis/lipolysis
Hint2;Glycolysis/lipolysis
Hk1;Glycolysis/lipolysis
HMGC1;Glycolysis/lipolysis
Hsd11b1;Glycolysis/lipolysis
Hsd17b10;Glycolysis/lipolysis
Hsd17b11;Glycolysis/lipolysis
Hsd17b14;Glycolysis/lipolysis
Hsd17b4;Glycolysis/lipolysis
Hsd17b6;Glycolysis/lipolysis
Hsd3b7;Glycolysis/lipolysis
Htr2a;Glycolysis/lipolysis
Iah1;Glycolysis/lipolysis
Idh1;Glycolysis/lipolysis
Ifng;Glycolysis/lipolysis
Igf1;Glycolysis/lipolysis
Il1b;Glycolysis/lipolysis
Ilvbl;Glycolysis/lipolysis
Inpp5f;Glycolysis/lipolysis
Ins2;Glycolysis/lipolysis
Insr;Glycolysis/lipolysis
Irs1;Glycolysis/lipolysis
Irs2;Glycolysis/lipolysis
itih3;Glycolysis/lipolysis
Ivd;Glycolysis/lipolysis
Khk;Glycolysis/lipolysis
Lcn2;Glycolysis/lipolysis
Ldlr;Glycolysis/lipolysis
Lep;Glycolysis/lipolysis
Lgals12;Glycolysis/lipolysis
Lipa;Glycolysis/lipolysis
Lipc;Glycolysis/lipolysis
Lipe;Glycolysis/lipolysis
Lipf;Glycolysis/lipolysis
Lipg;Glycolysis/lipolysis
Liph;Glycolysis/lipolysis
Lipi;Glycolysis/lipolysis
Lipk;Glycolysis/lipolysis
Lipm;Glycolysis/lipolysis
Lipn;Glycolysis/lipolysis
Lonp2;Glycolysis/lipolysis
Lpin1;Glycolysis/lipolysis
Lpin2;Glycolysis/lipolysis
Lpin3;Glycolysis/lipolysis
Lpl;Glycolysis/lipolysis
Lrcol1;Glycolysis/lipolysis
Lrp1;Glycolysis/lipolysis
Lypla2;Glycolysis/lipolysis
Mfsd2a;Glycolysis/lipolysis
Mgll;Glycolysis/lipolysis
Mgst2;Glycolysis/lipolysis
Mif;Glycolysis/lipolysis
Mlxipl;Glycolysis/lipolysis
Mlycd;Glycolysis/lipolysis
Mt3;Glycolysis/lipolysis
Mtln;Glycolysis/lipolysis
Mtor;Glycolysis/lipolysis
Mup11;Glycolysis/lipolysis
Mup15;Glycolysis/lipolysis
Mup18;Glycolysis/lipolysis
Mup2;Glycolysis/lipolysis
Mup1;Glycolysis/lipolysis
Mup3;Glycolysis/lipolysis
Mup9;Glycolysis/lipolysis
Myc;Glycolysis/lipolysis
Naaa;Glycolysis/lipolysis
Naga;Glycolysis/lipolysis
Napepld;Glycolysis/lipolysis
Nceh1;Glycolysis/lipolysis
Neu1;Glycolysis/lipolysis
Neu2;Glycolysis/lipolysis
Neu3;Glycolysis/lipolysis
Neu4;Glycolysis/lipolysis
Nudt7;Glycolysis/lipolysis
Obp2a;Glycolysis/lipolysis
Oc90;Glycolysis/lipolysis
Orm1;Glycolysis/lipolysis
P2rx7;Glycolysis/lipolysis
Pafah1b1;Glycolysis/lipolysis
Pafah1b2;Glycolysis/lipolysis
Pafah1b3;Glycolysis/lipolysis
Pafah2;Glycolysis/lipolysis
Pcca;Glycolysis/lipolysis
Pck1;Glycolysis/lipolysis
Pck2;Glycolysis/lipolysis
Pde3b;Glycolysis/lipolysis
Pdgfrl;Glycolysis/lipolysis
Pdxdc1;Glycolysis/lipolysis
Pex13;Glycolysis/lipolysis
Pex2;Glycolysis/lipolysis
Pex5;Glycolysis/lipolysis
Pex7;Glycolysis/lipolysis
Pfkfb2;Glycolysis/lipolysis
Pfkl;Glycolysis/lipolysis
Pfkm;Glycolysis/lipolysis
Pfkp;Glycolysis/lipolysis
