Gene;Annotation
Insig1;Upregulated in old 4n Hnf4a
Fdft1;Upregulated in old 4n Hnf4a
Car3;Upregulated in old 4n Hnf4a
Lpcat3;Upregulated in old 4n Hnf4a
Elovl2;Upregulated in old 4n Hnf4a
Msmo1;Upregulated in old 4n Hnf4a
Glt1d1;Upregulated in old 4n Hnf4a
Acss2;Upregulated in old 4n Hnf4a
Fads1;Upregulated in old 4n Hnf4a
Slc47a1;Upregulated in old 4n Hnf4a
Gck;Upregulated in old 4n Hnf4a
Dbp;Upregulated in old 4n Hnf4a
Inmt;Upregulated in old 4n Hnf4a
Hmgcr;Upregulated in old 4n Hnf4a
Ppm1k;Upregulated in old 4n Hnf4a
Cyp2c23;Upregulated in old 4n Hnf4a
Fads1;Upregulated in old 4n Hnf4a
Fasn;Upregulated in old 4n Hnf4a
Itih3;Upregulated in old 4n Cebpa
Cyp2j5;Upregulated in old 4n Cebpa
Atp12a;Upregulated in old 4n Cebpa
Ctdsp2;Upregulated in old 4n Cebpa
Scp2;Upregulated in old 4n Cebpa
Scp2;Upregulated in old 4n Cebpa
Cwf19l2;Upregulated in old 4n Cebpa
Echdc3;Upregulated in old 4n Cebpa
Slc1a3;Upregulated in old 4n Cebpa
Itih1;Upregulated in old 4n Cebpa
Hacl1;Upregulated in old 4n Cebpa
Insig2;Upregulated in old 4n Cebpa
Sco2;Upregulated in old 4n Cebpa
Sugct;Upregulated in old 4n Cebpa
Tfap2a;Upregulated in old 4n Cebpa
Srebf1;Upregulated in old 4n Cebpa
Hnf4a;Upregulated in old 4n Cebpa
Hgd;Upregulated in old 4n Ctcf
Gsta1;Upregulated in old 4n Ctcf
Gsta2;Upregulated in old 4n Ctcf
Gstm1;Upregulated in old 4n Ctcf
Fbp1;Upregulated in old 4n Ctcf
Fnbp1;Upregulated in old 4n Ctcf
Aldob;Upregulated in old 4n Ctcf
Ces1b;Upregulated in old 4n Ctcf
Ces1c;Upregulated in old 4n Ctcf
Upp2;Upregulated in old 4n Ctcf
G6pc;Upregulated in old 4n Ctcf
Dnase2b;Upregulated in old 4n Ctcf
Alb;Upregulated in old 4n Ctcf
Fbf1;Upregulated in old 4n Ctcf
Srebf1;Upregulated in old 4n Ctcf
Etnppl;Upregulated in old 4n Ctcf
Gstt2;Upregulated in old 4n Ctcf
Aacs;Upregulated in old 4n Ctcf
Gys2;Upregulated in old 4n Ctcf
Hamp;Upregulated in old 4n Ctcf
Pck1;Upregulated in old 4n Ctcf
Foxo1;Upregulated in old 4n Ctcf
Stat3;Upregulated in old 4n Ctcf
Nfkb1;Upregulated in old 4n Ctcf
Uqcr11;Upregulated in young 4n Hnf4a
Onecut1;Upregulated in young 4n Hnf4a
Alb;Upregulated in young 4n Hnf4a
Fbf1;Upregulated in young 4n Hnf4a
Amn1;Upregulated in young 4n Hnf4a
Apoc1;Upregulated in young 4n Hnf4a
Elovl3;Upregulated in young 4n Hnf4a
Top1;Upregulated in young 4n Hnf4a
Cox6a1;Upregulated in young 4n Hnf4a
Nr1h4;Upregulated in young 4n Hnf4a
G6pc;Upregulated in young 4n Hnf4a
Lpin1;Upregulated in young 4n Hnf4a
Elovl6;Upregulated in young 4n Hnf4a
Hmgcs2;Upregulated in young 4n Hnf4a
Ahcyl2;Upregulated in young 4n Hnf4a
Parp4;Upregulated in young 4n Hnf4a
Gsta3;Upregulated in young 4n Cebpa
Prdx4;Upregulated in young 4n Cebpa
Cyp3a11;Upregulated in young 4n Cebpa
Dbp;Upregulated in young 4n Cebpa
Gys2;Upregulated in young 4n Cebpa
Ces1d;Upregulated in young 4n Cebpa
Slc2a2;Upregulated in young 4n Cebpa
Srebf1;Upregulated in young 4n Cebpa
Inmt;Upregulated in young 4n Cebpa
Cox6b1;Upregulated in young 4n Cebpa
Sephs2;Upregulated in young 4n Cebpa
Ugp2;Upregulated in young 4n Cebpa
Apoe;Upregulated in young 4n Cebpa
Pck1;Upregulated in young 4n Cebpa and Hnf4a
Ddhd2;Upregulated in young 4n Cebpa and Hnf4a
Abhd1;Upregulated in young 4n Ctcf
G0s2;Upregulated in young 4n Ctcf
Npr2;Upregulated in young 4n Ctcf
Nprl2;Upregulated in young 4n Ctcf
Rabggta;Upregulated in young 4n Ctcf
Ttc8;Upregulated in young 4n Ctcf
Cyp2e1;Upregulated in young 4n Ctcf
Tpmt;Upregulated in young 4n Ctcf
Smug1;Upregulated in young 4n Ctcf
Hes6;Upregulated in young 4n Ctcf
Hdac11;Upregulated in young 4n Ctcf
Nr2c2;Upregulated in young 4n Ctcf
Ugt1a1;Upregulated in young 4n Ctcf
Ddc;Upregulated in young 4n Ctcf
Itfg2;Upregulated in young 4n Ctcf
Nr1i3;Upregulated in young 4n Ctcf
Mycbp2;Upregulated in young 4n Ctcf
Itsn1;Upregulated in young 4n Ctcf
Nr1h4;Upregulated in young 4n wt
Prdm1;Upregulated in young 4n wt
Trp53;Upregulated in young 4n wt
