,Gene symbol,Task
0,Hnf1a,Target Hnf4a
1,Hnf1b,Target Hnf4a
2,Nr1h3,Target Hnf4a
3,Gabpa,Target Hnf4a
4,Gabpb2,Target Hnf4a
5,Atf4,Target Hnf4a
6,Atf7,Target Hnf4a
7,Sp2,Target Hnf4a
8,Srebf2,Target Hnf4a
9,Btf3,Target Hnf4a
10,Hif1a,Target Hnf4a
11,Nr3c2,Target Hnf4a
12,Tcf19,Target Hnf4a
13,Cnot2,Target Hnf4a
14,Nr0b2,Target Hnf4a
15,Nr5a2,Target Hnf4a
16,Crebl2,Target Hnf4a
17,Elf3,Target Hnf4a
18,Pax8,Target Hnf4a
19,Tef,Target Hnf4a
20,Atf2,Target Hnf4a
21,Alb,Target Hnf4a
22,Ttr,Target Hnf4a
23,Pck1,Target Hnf4a
24,Pck2,Target Hnf4a
25,Cyp7a1,Target Hnf4a
26,Pklr,Target Hnf4a
27,A2m,Target Hnf4a
28,Rbp2,Target Hnf4a
29,Otc,Target Hnf4a
30,Acox1,Target Hnf4a
31,Hsd17b4,Target Hnf4a
32,Cyp2c23,Target Hnf4a
33,Slc2a2,Target Hnf4a
34,Aldob,Target Hnf4a
35,Fabp1,Target Hnf4a
36,Cyp2a4,Target Hnf4a
37,Hmgcs2,Target Hnf4a
38,Aldh3a1,Target Hnf4a
39,Ogdh,Target Hnf4a
40,Ucp2,Target Hnf4a
41,Cyp3a16,Target Hnf4a
42,Hpd,Target Hnf4a
43,Afm,Target Hnf4a
44,Cyp2e1,Target Hnf4a
45,Aldob,Target Hnf4a
46,Igfbp1,Target Hnf4a
47,Hes6,Target Hnf4a
48,Acot1,Target Hnf4a
49,Cd36,Target Hnf4a
50,Pparg,Target Hnf4a
51,Apob,Target Hnf4a
52,Fga,Target Cebpa
53,F2,Target Cebpa
54,Eif2s2,Target Cebpa
55,Pck1,Target Cebpa
56,Chac1,Target Cebpa
57,E4f1,Target Cebpa
58,Usp54,Target Cebpa
59,Mapk14,Target Cebpa
60,Egr1,Target Cebpa
61,Itih1,Target Cebpa
62,Trib1,Target Cebpa
63,Acsl5,Target Cebpa
64,Adm,Target Cebpa
65,Tnfaip3,Target Cebpa
66,Tgif1,Target Cebpa
67,Trib1,Target Cebpa
68,Igfbp1,Target Cebpa
69,Foxo3,Target Cebpa
70,Gata4,Target Cebpa
71,Edc3,Target Cebpa
72,Nr1h4,Target Cebpa
73,Smad3,Target Cebpa
74,Fmr1,Target Cebpa
75,Prox1,Target Cebpa
76,C8a,Target Cebpa
77,Apoc1,Target Cebpa
78,Apoe,Target Cebpa
79,Tomm40,Target Cebpa
80,Orm1,Target Cebpa
81,Efhd2,Target Cebpa
82,Tpst2,Target Cebpa
83,Dusp1,Target Cebpa
84,Cyp2b10,Target Cebpa
85,Tat,Target Cebpa
86,Hp,Target Cebpa
87,Pparg,Target Cebpa
88,Calu,Target Ctcf
89,Suds3,Target Ctcf
90,Fanci,Target Ctcf
91,Eif4g1,Target Ctcf
92,Pign,Target Ctcf
93,Kirrel,Target Ctcf
94,Ercc8,Target Ctcf
95,Tnrc18,Target Ctcf
96,Madd,Target Ctcf
97,Fermt2,Target Ctcf
98,Ext2,Target Ctcf
99,Sertad3,Target Ctcf
100,Unc13d,Target Ctcf
101,Boll,Target Ctcf
102,Stau1,Target Ctcf
103,Inf2,Target Ctcf
104,Atp8b2,Target Ctcf
105,Urgcp,Target Ctcf
106,Nnt,Target Ctcf
107,Cbl,Target Ctcf
108,Cdc42ep1,Target Ctcf
109,BC048507,Target Ctcf
110,Leng8,Target Ctcf
111,Cbr1,Target Ctcf
112,Cbx4,Target Ctcf
113,Klf6,Target Ctcf
114,Spryd4,Target Ctcf
115,Rrm2,Target Ctcf
116,Dgkq,Target Ctcf
117,Ctbp1,Target Ctcf
118,Adh7,Target Ctcf
119,Asb4,Target Ctcf
120,Ptprr,Target Ctcf
121,Ccnd2,Target Ctcf
122,Lrrc49,Target Ctcf
123,Erp44,Target Ctcf
124,Adra1a,Target Ctcf
125,Ryr1,Target Ctcf
126,Nfyc,Target Ctcf
127,Nme8,Target Ctcf
128,Epor,Target Ctcf
129,Nup153,Target Ctcf
130,Tmem167b,Target Ctcf
131,Stac3,Target Ctcf
132,Vgll4,Target Ctcf
133,Ccdc62,Target Ctcf
134,Wnk1,Target Ctcf
135,Rasal1,Target Ctcf
136,Tha1,Target Ctcf
137,Entpd1,Target Ctcf
138,Shroom1,Target Ctcf
139,Trim28,Target Ctcf
140,Magee1,Target Ctcf
141,Stim2,Target Ctcf
142,Vim,Target Ctcf
143,Qdpr,Target Ctcf
144,Pgbd5,Target Ctcf
145,Mapkapk3,Target Ctcf
146,Ipo8,Target Ctcf
147,Lrp1,Target Ctcf
148,Lpin1,Target Ctcf
149,Vwf,Target Ctcf
150,Ndufs2,Target Ctcf
